Striker,Season,Venue,Batting Team,total_runs,balls_faced,strike_rate,Bowler,Bowling Team,total_wickets,total_runs_conceded,balls_bowled,economy_rate
MP Stoinis,19,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bengaluru,31,28,110.7142857,MP Stoinis,Royal Challengers Bengaluru,0,28,18,9.333333333
MP Stoinis,19,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,0,2,0,0,0,0,0,0,0
MP Stoinis,21,Dubai International Cricket Stadium,Delhi Capitals,210,145,144.8275862,MP Stoinis,Delhi Capitals,4,96,68,8.470588235
MP Stoinis,21,"MA Chidambaram Stadium, Chepauk, Chennai",Delhi Capitals,2,2,100,MP Stoinis,Delhi Capitals,1,32,24,8
MP Stoinis,21,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,28,20,140,MP Stoinis,Delhi Capitals,1,36,19,11.36842105
MP Stoinis,21,Sharjah Cricket Stadium,Delhi Capitals,82,72,113.8888889,MP Stoinis,Delhi Capitals,3,73,44,9.954545455
MP Stoinis,21,"Sheikh Zayed Stadium, Abu Dhabi",Delhi Capitals,78,57,136.8421053,MP Stoinis,Delhi Capitals,6,120,79,9.113924051
MP Stoinis,21,"Wankhede Stadium, Mumbai",Delhi Capitals,41,28,146.4285714,MP Stoinis,Delhi Capitals,0,41,19,12.94736842
MP Stoinis,22,"Brabourne Stadium, Mumbai",Lucknow Super Giants,37,27,137.037037,MP Stoinis,Lucknow Super Giants,1,28,18,9.333333333
MP Stoinis,22,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,24,17,141.1764706,MP Stoinis,Lucknow Super Giants,3,37,19,11.68421053
MP Stoinis,22,"Eden Gardens, Kolkata",Lucknow Super Giants,9,12,75,0,0,0,0,0,0
MP Stoinis,22,"Maharashtra Cricket Association Stadium, Pune",Lucknow Super Giants,31,21,147.6190476,0,0,0,0,0,0
MP Stoinis,22,"Wankhede Stadium, Mumbai",Lucknow Super Giants,55,39,141.025641,MP Stoinis,Lucknow Super Giants,0,14,7,12
MP Stoinis,23,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,145,109,133.0275229,MP Stoinis,Lucknow Super Giants,2,31,24,7.75
MP Stoinis,23,"Eden Gardens, Kolkata",Lucknow Super Giants,0,2,0,0,0,0,0,0,0
MP Stoinis,23,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,65,31,209.6774194,0,0,0,0,0,0
MP Stoinis,23,"MA Chidambaram Stadium, Chepauk, Chennai",Lucknow Super Giants,61,47,129.787234,0,0,0,0,0,0
MP Stoinis,23,"Narendra Modi Stadium, Ahmedabad",Lucknow Super Giants,4,9,44.44444444,MP Stoinis,Lucknow Super Giants,0,20,6,20
MP Stoinis,23,"Punjab Cricket Association IS Bindra Stadium, Mohali",Lucknow Super Giants,72,40,180,MP Stoinis,Lucknow Super Giants,1,21,15,8.4
MP Stoinis,23,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Lucknow Super Giants,40,27,148.1481481,0,0,0,0,0,0
MP Stoinis,23,"Sawai Mansingh Stadium, Jaipur",Lucknow Super Giants,21,16,131.25,MP Stoinis,Lucknow Super Giants,2,28,24,7
